yyyy-mm-dd,Daily Minimum Near-Surface Air Temperature(K),Daily Maximum Near-Surface Air Temperature(K),Daily Mean Near-Surface Specific Humidity(kgkg-1),vpd(kPa),Precipitation(mm)
2006/5/4,276.412445,282.083893,0.004485,0.27,1.032771
2006/5/5,270.93515,280.1763,0.003339,0.25,0
2006/5/6,268.460632,284.811523,0.003082,0.43,0
2006/5/7,275.628754,290.461273,0.005567,0.51,0
2006/5/8,275.488037,291.374115,0.005228,0.61,0
2006/5/9,273.079865,288.113617,0.004226,0.51,0
2006/5/10,271.719482,289.063324,0.003971,0.57,0.849429
2006/5/11,271.704132,289.752441,0.004275,0.57,0
2006/5/12,280.484131,286.644531,0.005515,0.45,15.022437
2006/5/13,273.126007,284.244263,0.006698,0,23.298111
2006/5/14,277.115631,284.842163,0.005145,0.31,3.12395
2006/5/15,278.90094,293.462067,0.004332,0.99,0
2006/5/16,277.075989,296.203705,0.005434,0.99,0
2006/5/17,279.703796,299.064819,0.006208,1.22,0
2006/5/18,276.404633,289.736938,0.007439,0.2,14.807839
2006/5/19,285.172058,297.665161,0.008759,0.91,12.325625
2006/5/20,277.957367,296.784454,0.005734,1.02,0
2006/5/21,279.157806,295.481415,0.007067,0.74,0
2006/5/22,282.152832,301.804474,0.008688,1.22,0
2006/5/23,282.92746,305.928223,0.008243,1.85,0
2006/5/24,284.919586,304.962372,0.009439,1.62,1.719855
2006/5/25,286.558014,295.655548,0.009899,0.63,4.845615
2006/5/26,282.169495,292.284271,0.009672,0.22,1.907367
2006/5/27,285.556152,291.723633,0.0097,0.32,10.29726
2006/5/28,281.733582,304.429932,0.008517,1.56,0
2006/5/29,284.948517,305.123993,0.009624,1.62,0
2006/5/30,286.526367,301.999817,0.011116,1.08,1.754803
2006/5/31,284.85199,293.510345,0.008763,0.55,0.843167
2006/6/1,276.412567,297.128662,0.005667,1.02,0
2006/6/2,280.878815,297.126556,0.007448,0.89,0
2006/6/3,282.085144,301.738708,0.008433,1.25,0
2006/6/4,282.364197,297.277863,0.009467,0.65,1.980937
2006/6/5,288.773193,296.47641,0.011518,0.58,9.222245
2006/6/6,283.157013,298.281097,0.008021,1,1.66538
2006/6/7,284.16626,293.773346,0.007881,0.68,1.023429
2006/6/8,279.169739,289.18689,0.006252,0.43,2.201242
2006/6/9,283.935211,290.732605,0.0088,0.32,2.359537
2006/6/10,287.567535,296.69751,0.011402,0.55,2.857985
2006/6/11,288.045288,298.982697,0.012534,0.62,6.938454
2006/6/12,290.948181,299.778748,0.011749,0.99,4.770013
2006/6/13,288.216553,301.376862,0.011043,1.11,4.722211
2006/6/14,282.992523,293.428192,0.00778,0.62,1.022508
2006/6/15,274.099121,288.174866,0.006685,0.16,4.335957
2006/6/16,281.979584,292.689148,0.010995,0.04,20.610283
2006/6/17,288.754608,298.696259,0.011028,0.86,5.859635
2006/6/18,280.041351,299.19281,0.006802,1.15,0
2006/6/19,280.958923,301.844116,0.006654,1.49,0
2006/6/20,282.642944,295.589508,0.00891,0.6,0
2006/6/21,283.664459,301.279327,0.011638,0.78,9.874758
2006/6/22,290.510864,301.754669,0.0138,0.87,3.651453
2006/6/23,290.921631,303.164551,0.014304,0.99,3.507245
2006/6/24,290.980957,304.03299,0.014042,1.14,2.795208
2006/6/25,290.711517,301.505981,0.014395,0.77,7.222596
2006/6/26,291.022858,299.378601,0.013965,0.63,8.988899
2006/6/27,284.48645,301.207153,0.008205,1.33,0
2006/6/28,283.660492,300.408966,0.00911,1.07,0
2006/6/29,284.840668,302.337891,0.009279,1.31,0
2006/6/30,287.394653,299.897369,0.012365,0.7,0
2006/7/1,290.994904,298.960907,0.013103,0.71,0
2006/7/2,284.163879,300.50766,0.008992,1.12,0
2006/7/3,282.45166,299.610077,0.008758,0.99,0
2006/7/4,285.066895,303.491547,0.009691,1.4,0
2006/7/5,285.406494,306.096924,0.010413,1.65,0
2006/7/6,287.971771,300.311249,0.012618,0.74,13.463534
2006/7/7,286.849609,301.603455,0.011341,1.01,1.188025
2006/7/8,285.422943,305.937775,0.010501,1.62,0
2006/7/9,286.707245,306.799377,0.011274,1.69,0
2006/7/10,289.593842,303.434113,0.013757,1.02,0.4201
2006/7/11,292.797089,303.960022,0.015494,1.04,2.778352
2006/7/12,292.734283,303.493896,0.012617,1.41,8.413569
2006/7/13,286.515472,301.67218,0.01049,1.13,0
2006/7/14,286.948975,301.043213,0.012777,0.74,13.209241
2006/7/15,286.421661,301.857666,0.010682,1.12,0.446075
2006/7/16,284.012115,302.317719,0.012049,0.86,16.664257
2006/7/17,285.751648,295.201965,0.009873,0.56,0.745783
2006/7/18,284.780121,292.70163,0.009093,0.44,0
2006/7/19,281.795563,295.539246,0.009013,0.55,0
2006/7/20,281.897308,296.766541,0.008572,0.72,0
2006/7/21,284.748505,301.362061,0.00955,1.15,0
2006/7/22,286.445374,298.566956,0.011136,0.71,3.961319
2006/7/23,288.371582,295.429291,0.013762,0.14,19.096802
2006/7/24,291.51474,302.10965,0.01431,0.9,1.564333
2006/7/25,286.561951,298.136871,0.014181,0.22,24.118616
2006/7/26,287.285431,302.869019,0.009982,1.39,0.349074
2006/7/27,284.023163,302.304993,0.009274,1.27,0
2006/7/28,285.059875,301.203735,0.010676,0.98,0
2006/7/29,288.780243,298.223755,0.012677,0.57,0
2006/7/30,286.605865,302.233856,0.011919,0.99,0
2006/7/31,289.64856,303.319244,0.014145,0.96,3.566176
2006/8/1,289.147736,303.988586,0.01256,1.25,0
2006/8/2,286.026367,305.212952,0.010713,1.52,0
2006/8/3,288.36322,302.789978,0.01284,1.01,8.232005
2006/8/4,286.164429,300.153137,0.010242,0.99,0
2006/8/5,283.393738,298.816132,0.00906,0.9,0
2006/8/6,284.750244,299.257385,0.009797,0.89,0
2006/8/7,285.684387,293.795288,0.011485,0.21,13.168015
2006/8/8,290.753418,300.240662,0.013464,0.77,9.599923
2006/8/9,284.623322,299.048309,0.010399,0.78,0
2006/8/10,286.632111,301.037384,0.012725,0.73,4.595329
2006/8/11,286.703918,298.879669,0.010028,0.91,0
2006/8/12,283.721466,297.188385,0.00939,0.71,0
2006/8/13,282.964874,300.834595,0.010247,0.91,1.051642
2006/8/14,284.966156,301.037476,0.012064,0.75,11.879874
2006/8/15,286.320404,298.39798,0.010793,0.73,0.284091
2006/8/16,287.789398,301.69635,0.012497,0.9,2.263192
2006/8/17,285.051361,294.007874,0.013862,0,14.97331
2006/8/18,286.338348,294.951141,0.00978,0.58,0.284398
2006/8/19,280.314606,295.808105,0.008033,0.66,0
2006/8/20,281.715118,295.491425,0.008902,0.56,0
2006/8/21,282.594666,296.248596,0.00835,0.74,0
2006/8/22,278.761414,296.943054,0.007449,0.8,0
2006/8/23,278.56897,298.607788,0.007657,0.92,0
2006/8/24,281.562195,302.520966,0.00859,1.3,0
2006/8/25,286.154938,300.793823,0.011083,0.93,0.325885
2006/8/26,288.887115,302.538666,0.013346,0.94,0
2006/8/27,290.342712,302.001282,0.014217,0.83,1.311105
2006/8/28,291.620911,302.91394,0.01435,1,8.942693
2006/8/29,283.429047,300.985046,0.009326,1.09,0
2006/8/30,284.542175,295.660858,0.008504,0.75,0
2006/8/31,277.002197,296.766052,0.006667,0.85,0
2006/9/1,282.282684,298.818115,0.00889,0.88,0.695143
2006/9/2,284.202759,298.739319,0.009989,0.79,0
2006/9/3,284.747925,301.024536,0.010389,0.99,1.016415
2006/9/4,286.189301,300.913208,0.011932,0.82,1.21946
2006/9/5,287.715698,300.479797,0.012895,0.7,1.962218
2006/9/6,286.383759,299.240906,0.012433,0.58,0
2006/9/7,288.111633,295.249512,0.013491,0.15,26.180954
2006/9/8,282.837799,296.135071,0.008778,0.67,0
2006/9/9,280.646271,295.22113,0.008388,0.57,0
2006/9/10,282.846039,297.940063,0.00901,0.8,5.372781
2006/9/11,289.333496,298.005493,0.012287,0.64,37.496529
2006/9/12,286.118622,298.330933,0.010293,0.79,0
2006/9/13,281.737091,300.621246,0.009116,1.01,0.292007
2006/9/14,283.508118,301.946045,0.009802,1.13,0
2006/9/15,283.318512,300.305389,0.010056,0.9,0.52791
2006/9/16,285.567871,299.333679,0.011052,0.75,0.719531
2006/9/17,284.888641,299.889709,0.010865,0.8,4.022223
2006/9/18,284.043762,292.47995,0.008788,0.44,1.390326
2006/9/19,275.735413,286.576385,0.004526,0.45,0
2006/9/20,273.178009,292.218719,0.004076,0.79,0
2006/9/21,275.733948,293.378662,0.00537,0.74,0
2006/9/22,280.365082,295.063568,0.00803,0.6,0
2006/9/23,283.005188,296.564758,0.009225,0.65,0.673649
2006/9/24,283.778687,298.805634,0.009793,0.81,0
2006/9/25,286.452057,296.298187,0.010044,0.66,0.665113
2006/9/26,281.380188,292.728027,0.008286,0.43,0
2006/9/27,279.056213,292.979858,0.007548,0.47,0
2006/9/28,279.573181,289.804779,0.008565,0.13,11.451833
2006/9/29,275.381134,284.511566,0.00499,0.27,4.679492
2006/9/30,271.829834,287.12738,0.003774,0.5,0
2006/10/1,279.702606,288.039215,0.006015,0.42,3.143574
2006/10/2,274.860687,285.3172,0.004727,0.33,1.438574
2006/10/3,273.179382,281.271454,0.003821,0.26,0
2006/10/4,269.92804,284.474304,0.00344,0.39,0
2006/10/5,272.668518,287.470764,0.004226,0.47,0
2006/10/6,276.822968,290.646179,0.0055,0.56,0
2006/10/7,271.686462,286.60968,0.003518,0.51,0
2006/10/8,270.940826,291.614349,0.00382,0.74,0
2006/10/9,277.471954,293.471649,0.00634,0.64,0
2006/10/10,276.143158,294.430603,0.006372,0.67,0
2006/10/11,279.002228,294.291107,0.006512,0.73,0
2006/10/12,282.474152,287.129547,0.00805,0.16,11.854386
2006/10/13,273.824921,285.746368,0.008135,0,60.500809
2006/10/14,276.308655,284.140198,0.004481,0.35,0.46619
2006/10/15,271.708984,287.544556,0.00428,0.44,0
2006/10/16,274.691315,294.647522,0.004578,0.93,0
2006/10/17,277.084625,296.237885,0.005147,1.03,0
2006/10/18,276.959717,294.387238,0.005541,0.82,0
2006/10/19,277.71051,295.675262,0.00617,0.85,0
2006/10/20,278.342743,295.330994,0.006679,0.76,0
2006/10/21,276.12561,295.737671,0.006473,0.76,0
2006/10/22,278.973969,293.101044,0.007108,0.55,0.644875
2006/10/23,281.528656,292.991211,0.00826,0.45,5.718374
2006/10/24,276.349915,288.671051,0.00515,0.48,0.282995
2006/10/25,275.037964,290.024506,0.004287,0.66,0.288025
2006/10/26,275.212372,282.211639,0.004375,0.26,0
2006/10/27,272.785645,286.144562,0.004483,0.36,1.681651
2006/10/28,276.80127,284.802429,0.006276,0.13,3.390443
2006/10/29,272.193634,283.011932,0.003816,0.31,0
2006/10/30,270.132812,285.743683,0.003602,0.42,0
2006/10/31,270.688751,286.25061,0.0035,0.47,0
2006/11/1,272.620331,286.18512,0.004552,0.35,0.353706
2006/11/2,276.017456,285.139221,0.005028,0.31,1.214372
2006/11/3,273.101257,285.353455,0.004446,0.34,0
2006/11/4,277.450684,287.470337,0.005404,0.41,0
2006/11/5,274.94577,280.368835,0.004625,0.15,2.004663
2006/11/6,271.027161,278.56723,0.00348,0.18,3.741365
2006/11/7,268.662354,276.15509,0.002569,0.2,0
2006/11/8,267.489929,277.357971,0.002068,0.3,0
2006/11/9,270.833282,283.210114,0.00276,0.45,0
2006/11/10,273.36264,288.425598,0.00381,0.6,0
2006/11/11,274.905731,285.621704,0.003769,0.49,0
2006/11/12,272.202332,278.102631,0.003916,0.12,0
2006/11/13,269.945923,275.823029,0.002955,0.16,0
2006/11/14,275.53064,277.978943,0.004246,0.14,22.808432
2006/11/15,272.162262,276.342133,0.003929,0.07,1.475602
2006/11/16,270.749573,275.457825,0.003198,0.13,0.731628
2006/11/17,269.776459,282.654816,0.003135,0.35,0
2006/11/18,271.68338,284.146698,0.003516,0.39,0.694607
2006/11/19,278.135803,284.750824,0.005554,0.27,4.603866
2006/11/20,277.367065,283.484497,0.005754,0.16,0.498133
2006/11/21,279.812378,285.853821,0.006397,0.25,7.402168
2006/11/22,271.092865,276.655273,0.003611,0.1,3.742206
2006/11/23,275.936646,276.617889,0.003745,0.19,10.551593
2006/11/24,269.741486,276.342651,0.003102,0.15,0
2006/11/25,266.295593,279.01059,0.002637,0.24,0
2006/11/26,269.00119,283.436127,0.002615,0.45,0
2006/11/27,273.19754,287.917236,0.004331,0.49,0
2006/11/28,277.782043,292.350433,0.005286,0.73,0
2006/11/29,277.921326,292.114624,0.005693,0.66,0
2006/11/30,279.463867,289.309967,0.006822,0.36,1.154195
2006/12/1,281.022797,289.83252,0.008509,0.19,3.921388
2006/12/2,277.675873,289.324585,0.007952,0.13,26.277052
2006/12/3,270.412506,281.334198,0.003033,0.33,0
2006/12/4,272.587189,281.699432,0.003317,0.34,0.366142
2006/12/5,273.311584,279.433136,0.003916,0.19,0
2006/12/6,265.443481,274.319489,0.002011,0.2,0
2006/12/7,265.437317,275.2565,0.001948,0.23,0
2006/12/8,265.178864,275.979126,0.002054,0.23,0.446549
2006/12/9,271.426666,278.288879,0.003295,0.21,1.059785
2006/12/10,275.350067,280.725281,0.00493,0.13,4.805665
2006/12/11,269.042267,277.661133,0.003084,0.18,0
2006/12/12,264.396027,275.171326,0.002232,0.17,0.567337
2006/12/13,263.267212,271.359985,0.002193,0.08,0
2006/12/14,261.958466,273.979034,0.001669,0.2,0
2006/12/15,267.560669,277.597809,0.002419,0.25,0
2006/12/16,265.722931,278.956848,0.002307,0.28,0
2006/12/17,268.79715,280.953766,0.003477,0.22,0
2006/12/18,273.797699,290.271698,0.004798,0.57,0.932964
2006/12/19,269.02597,278.936554,0.004444,0.01,9.934042
2006/12/20,268.814911,273.978241,0.002767,0.12,0
2006/12/21,262.982208,275.9422,0.003512,0,8.016584
2006/12/22,271.338867,275.993195,0.003603,0.09,0
2006/12/23,272.798157,284.167328,0.004489,0.27,7.296527
2006/12/24,280.356537,288.469055,0.006599,0.37,0.544506
2006/12/25,281.898468,291.36911,0.006682,0.59,1.961183
2006/12/26,273.807648,285.892578,0.004298,0.4,0.73755
2006/12/27,270.772919,277.498993,0.003631,0.12,0
2006/12/28,270.737305,280.618225,0.00371,0.21,0.972332
2006/12/29,276.204712,288.202576,0.006704,0.21,1.281316
2006/12/30,280.555786,288.676514,0.006771,0.37,2.131042
2006/12/31,273.918335,287.051147,0.004797,0.39,0
2007/1/1,273.827911,286.821442,0.005795,0.22,8.288124
2007/1/2,266.306854,276.204559,0.002025,0.25,0
2007/1/3,264.174042,269.574982,0.001648,0.14,1.173345
2007/1/4,260.027863,267.206635,0.001216,0.12,0.792384
2007/1/5,271.584534,282.831207,0.002675,0.46,15.544194
2007/1/6,257.045563,275.30423,0.001555,0.21,1.185203
2007/1/7,251.342178,266.672729,0.00073,0.13,0
2007/1/8,259.863251,272.622192,0.001543,0.17,0.49322
2007/1/9,264.29892,272.2435,0.002233,0.1,1.559187
2007/1/10,266.985413,273.971252,0.002755,0.1,2.86737
2007/1/11,257.664368,269.598816,0.001393,0.11,0
2007/1/12,258.226685,269.817078,0.001752,0.07,0.54939
2007/1/13,252.051224,263.564148,0.00065,0.11,0
2007/1/14,250.521957,263.687073,0.000584,0.11,0
2007/1/15,253.47084,264.192474,0.000891,0.08,0.594759
2007/1/16,263.208984,270.345337,0.001818,0.11,0.744283
2007/1/17,259.378845,275.908478,0.001811,0.2,0
2007/1/18,264.843872,273.468994,0.002043,0.16,0
2007/1/19,255.3246,266.284576,0.000971,0.11,0
2007/1/20,254.423813,263.696869,0.000808,0.1,0
2007/1/21,258.261597,266.569366,0.001048,0.12,0
2007/1/22,255.936768,269.013428,0.001013,0.15,0.697247
2007/1/23,258.294098,274.244843,0.001818,0.15,6.22956
2007/1/24,260.784637,270.391571,0.001706,0.11,0
2007/1/25,256.91391,270.725861,0.001715,0.08,0.523579
2007/1/26,268.619537,277.243622,0.002946,0.18,3.36117
2007/1/27,273.451233,277.371643,0.003612,0.17,10.60806
2007/1/28,273.100891,277.297882,0.003417,0.19,0.58404
2007/1/29,269.090698,277.407013,0.002356,0.28,0
2007/1/30,269.653717,276.511169,0.002312,0.27,0
2007/1/31,261.596466,271.224457,0.001764,0.12,0.511446
2007/2/1,259.747131,269.384308,0.001327,0.14,0.585586
2007/2/2,259.373535,267.790344,0.001293,0.11,0.626695
2007/2/3,254.39296,271.743164,0.001079,0.18,0
2007/2/4,263.264587,274.240875,0.002425,0.1,4.243585
2007/2/5,268.052338,278.890533,0.003216,0.18,0
2007/2/6,266.992523,278.592163,0.002918,0.2,9.879941
2007/2/7,272.404877,277.622406,0.002176,0.38,11.501631
2007/2/8,257.876373,273.833069,0.001321,0.21,0
2007/2/9,264.119843,274.729126,0.001981,0.19,1.994847
2007/2/10,266.463043,277.916199,0.002345,0.26,2.475506
2007/2/11,266.667114,280.511719,0.003217,0.21,14.20406
2007/2/12,259.425629,276.606812,0.001417,0.28,1.092742
2007/2/13,261.622772,275.184448,0.001472,0.26,0
2007/2/14,253.340042,271.883911,0.001462,0.12,4.209931
2007/2/15,247.893097,259.913513,0.000302,0.1,0
2007/2/16,248.29158,271.222382,0.000782,0.19,0
2007/2/17,264.939484,278.136627,0.002668,0.19,0
2007/2/18,273.410065,284.305084,0.004265,0.32,3.706752
2007/2/19,268.652557,279.642822,0.004052,0.08,22.538273
2007/2/20,266.505829,275.091431,0.002463,0.16,4.087396
2007/2/21,263.592743,273.863525,0.001596,0.23,0
2007/2/22,259.690094,269.716522,0.000974,0.2,0
2007/2/23,256.297546,269.805817,0.000693,0.22,0
2007/2/24,257.896515,265.462555,0.001,0.11,0
2007/2/25,256.138031,259.616486,0.000695,0.08,0
2007/2/26,255.796356,266.15625,0.000707,0.15,0
2007/2/27,260.086945,278.421967,0.001274,0.36,0
2007/2/28,269.931183,279.349182,0.002323,0.36,0.573298
2007/3/1,265.319397,276.840668,0.002439,0.19,1.102741
2007/3/2,259.249786,269.619446,0.001387,0.13,0
2007/3/3,257.336731,275.97171,0.001149,0.29,0
2007/3/4,265.562012,277.975708,0.001834,0.32,0
2007/3/5,263.256042,278.516205,0.002032,0.28,0
2007/3/6,267.225128,274.308838,0.002611,0.13,3.029276
2007/3/7,264.00885,274.007629,0.001805,0.2,0
2007/3/8,261.530762,277.91568,0.001351,0.35,0
2007/3/9,267.347931,280.512085,0.00262,0.31,3.151388
2007/3/10,274.814301,280.871948,0.004503,0.18,0.618645
2007/3/11,268.499298,280.236206,0.002618,0.32,1.479654
2007/3/12,275.590729,285.964325,0.004588,0.4,18.08363
2007/3/13,268.612671,278.442596,0.002506,0.28,0.66644
2007/3/14,263.319458,274.987823,0.001586,0.25,0.496743
2007/3/15,265.264526,274.821014,0.002474,0.13,0.557487
2007/3/16,270.216766,292.460846,0.003652,0.81,5.751746
2007/3/17,274.21347,291.892853,0.004626,0.71,1.596629
2007/3/18,279.360962,289.212524,0.01,0,10.323503
2007/3/19,272.499329,283.655182,0.003422,0.4,0.749316
2007/3/20,269.534515,278.050842,0.002688,0.26,0
2007/3/21,270.632751,278.182495,0.002382,0.33,7.596785
2007/3/22,265.946991,273.652649,0.002542,0.11,37.888859
2007/3/23,270.03302,273.190399,0.003052,0.08,5.824461
2007/3/24,263.483917,272.699249,0.002214,0.1,0.585423
2007/3/25,250.726883,267.338257,0.001022,0.09,0
2007/3/26,253.315659,266.956512,0.001014,0.1,0
2007/3/27,252.652161,274.12796,0.001522,0.15,0
2007/3/28,269.920258,288.384613,0.002911,0.66,0
2007/3/29,276.128937,290.538025,0.00457,0.67,2.468563
2007/3/30,276.512054,288.330444,0.004871,0.51,2.023099
2007/3/31,271.437317,280.527649,0.003167,0.3,0
2007/4/1,267.609558,278.001038,0.002214,0.3,0
2007/4/2,270.11731,277.648834,0.003002,0.21,0
2007/4/3,267.605347,278.162018,0.002298,0.29,0
2007/4/4,271.668915,275.84491,0.003096,0.17,8.695195
2007/4/5,269.89151,278.128082,0.002737,0.26,0.575163
2007/4/6,268.123993,278.612946,0.002198,0.32,0
2007/4/7,267.607056,282.740051,0.002003,0.49,0
2007/4/8,268.631378,285.647186,0.002375,0.58,0
2007/4/9,274.551941,283.023071,0.003628,0.39,0.948428
2007/4/10,270.372375,282.746796,0.002594,0.45,0
2007/4/11,269.784088,287.18866,0.002807,0.61,0
2007/4/12,273.693665,280.062347,0.005301,0.01,13.058996
